Entity,Day,Training dataset size
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,2000000
1.3x/year between 1950-2010,1950-07-02,1.176671
1.3x/year between 1950-2010,2009-11-22,2448873.5
2.9x/year between 2010-2026,2010-01-03,28126.654
2.9x/year between 2010-2026,2026-04-27,1387530600000
3DDFA,2015-11-23,293901
3DMM-CNN,2016-12-15,500000
4 layer QRNN (h=2500),2018-03-22,103000000
6-Act Tether,2021-08-03,125000000
A3C FF hs,2016-02-04,200000000
ACF-WIDER,2014-07-15,144448
ADALINE,1960-06-30,100
ADAM (CIFAR-10),2014-12-22,50000
ADM,2021-05-11,130191200000000
AFM-on-device,2024-07-29,7588000000000
AFM-server,2024-07-29,7400000000000
ALBERT,2019-09-26,3300000000
ALBERT-xxlarge,2020-02-09,3300000000
ALIGN,2021-06-11,1800000000
ALLaM adapted 70B,2024-05-21,600000000000
ALM 1.0,2022-11-28,22696573000
ANN Eye Tracker,1993-11-29,4000
ASE+ACE,1983-09-01,500000
AWD-LSTM,2017-07-18,2000000
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,2000000
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,2000000
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,2000000
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,2000000
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,2000000
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,2000000
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,2000000
AdaBoost.M2 Digit Recognition,1996-07-03,9709
AdaRNN,2014-06-01,6248
Adaptive Input Transformer + RD,2021-06-28,103000000
Adaptive Inputs + LayerDrop,2019-09-25,103000000
Adaptive Subgrad,2011-10-03,800000
Advantage Learning,2015-12-15,100000000
AgentFounder-30B,2025-09-16,315000000000
Agile Soccer Robot,2023-04-26,3140000000
AlexNet,2012-09-30,2457600000
AlexaTM 20B,2022-08-02,1319000000000
AlphaCode,2022-02-02,967000000000
AlphaFold,2020-01-15,6622252000
AlphaFold 2,2020-11-30,5724000000
AlphaFold 3,2024-05-08,29491200000
AlphaFold-Multimer,2021-10-04,56573950
AlphaGo Fan,2015-10-01,12697600000
AlphaGo Lee,2016-01-27,300000000
AlphaGo Zero,2017-10-18,6348800000
AlphaMissense,2023-09-22,2304000000
AlphaX-1,2019-10-02,61280000
AlphaZero,2017-12-05,3520000000
Amazon Titan,2023-09-28,4000000000000
Ankh_large,2023-01-16,14000000000
Aramco Metabrain AI,2024-03-04,7000000000000
AudioGen,2023-03-05,230400000000
AudioLM,2023-07-26,135000000000
Aya,2024-02-12,1144220000000
BART-large,2019-10-29,42666670000
BASIC-L,2021-11-19,8905032000000
