Entity,Day,Number of parameters
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,185000000
3DDFA,2015-11-23,5355584
3DMM-CNN,2016-12-15,44500000
4 layer QRNN (h=2500),2018-03-22,151000000
6-Act Tether,2021-08-03,5000000
A.X K1,2025-12-30,519000000000
ACF-WIDER,2014-07-15,6144
ADALINE,1960-06-30,17
ADAM (CIFAR-10),2014-12-22,2370000
ADM,2021-05-11,559000000
AFM-on-device,2024-07-29,2730000000
ALBERT,2019-09-26,18000000
ALBERT-xxlarge,2020-02-09,235000000
ALIGN,2021-06-11,820000000
ALLaM adapted 70B,2024-05-21,70000000000
ALM 1.0,2022-11-28,335000000
ANN Eye Tracker,1993-11-29,5620
AR-LDM,2022-11-20,1500000000
ASE+ACE,1983-09-01,324
AWD-LSTM,2017-07-18,24000000
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,35000000
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,33000000
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,53000000
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,34000000
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,35000000
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,35000000
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,35000000
AbLang (heavy sequences),2022-01-22,355000000
AdaRNN,2014-06-01,13040
Adaptive Input Transformer + RD,2021-06-28,247000000
Adaptive Inputs + LayerDrop,2019-09-25,423000000
AgentFounder-30B,2025-09-16,30000000000
AlexNet,2012-09-30,60000000
AlexaTM 20B,2022-08-02,19750000000
AlphaCode,2022-02-02,41100000000
AlphaFold,2020-01-15,16340840
AlphaFold 2,2020-11-30,93000000
AlphaGeometry,2024-01-17,151000000
AlphaGo Fan,2015-10-01,8209984
AlphaGo Zero,2017-10-18,46400244
AlphaMissense,2023-09-22,93000000
AlphaStar,2019-10-30,139000000
AlphaX-1,2019-10-02,5400000
Amazon Titan,2023-09-28,200000000000
Ankh_large,2023-01-16,1900000000
Apollo 7B,2024-12-13,7000000000
Aramco Metabrain AI,2024-03-04,250000000000
AudioGen,2023-03-05,1000000000
AudioLM,2023-07-26,1500000000
Aya,2024-02-12,13000000000
BART-large,2019-10-29,406291456
BASIC-L,2021-11-19,3070000000
BASIC-L + Lion,2023-02-13,3070000000
BEIT-3,2022-08-22,1900000000
BERT-Large,2018-10-11,340000000
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,395000000
BERT-RBP,2022-04-07,110000000
BIDAF,2016-11-05,2600000
BLIP-2 (Q-Former),2023-01-30,1480000000
BLOOM-176B,2022-07-11,176247271424
BLSTM for handwriting (2),2007-12-03,100881
BLUUMI,2023-11-03,176000000000
BP-DBN,2009-01-01,18030592
Bankruptcy-NN,1990-06-17,36
Base LM + kNN LM + Continuous Cache,2019-11-01,247000000
BatchNorm,2015-06-15,13600000
Bidirectional RNN,1997-11-01,13000
Big Transfer (BiT-L),2019-12-24,928000000
Big-Little Net,2018-07-10,77360000
Big-Little Net (speech),2018-07-10,3320000
BigBiGAN,2019-07-04,86000000
BigSSL,2021-01-10,8000000000
BlenderBot 3,2022-08-10,175000000000
BloombergGPT,2023-03-30,50558868480
Boosting,1992-11-30,2578
ByT5-XXL,2021-05-28,12900000000
CFSS,2015-06-07,17408
CLIP (ResNet-50),2021-01-05,88600000
CLIP (ViT L/14@336px),2021-01-05,370000000
CMS-RCNN,2016-06-17,138000000
CNN Committee (MNIST),2011-09-18,120620
CNN Committee (NIST),2011-09-18,128420
CNN committee (traffic sign),2011-10-03,1388800
CODEFUSION (Python),2023-10-26,75000000
CPC v2,2019-05-22,303000000
CPM-Large,2020-12-01,2600000000
CT-MoS (WT2),2020-12-25,45000000
CURL,2020-04-08,907264
CaLM,2022-12-19,86000000
Cambrian-1-34B,2024-06-24,34000000000
CamemBERT,2019-11-10,335000000
Cancer drug mechanism prediction,1992-10-16,594
Ceramic-MLP,1994-01-07,1888
ChatGLM3-6B,2023-10-27,6000000000
Chinchilla,2022-03-29,70000000000
CoAtNet,2021-06-09,2440000000
CoCa,2022-06-14,2100000000
CoEdiT-xxl,2023-05-17,11000000000
CoRe,2023-12-29,12400000000
CodeT5+,2023-05-20,16000000000
CodeT5-base,2021-11-01,220000000
CodeT5-large,2022-07-05,770000000
Codex,2021-07-07,12000000000
CogAgent,2023-12-14,18000000000
CogVLM-17B,2023-11-06,17000000000
CogVideo,2022-05-29,9400000000
CogView,2021-05-26,4000000000
Cognitron,1975-09-01,21600
Composer 2,2026-03-19,1040000000000
Composer 2.5,2026-05-18,1040000000000
Conformer,2020-05-16,118800000
Conformer + Wav2vec 2.0 + Noisy Student,2020-10-20,1000000000
ContextNet,2020-05-07,112700000
Contriever,2021-12-16,110000000
DALL-E,2021-01-05,12000000000
DALL·E 2,2022-04-06,3500000000
DBRX,2024-03-27,132000000000
DCNN,2015-08-07,5006000
DDPM-IP (CelebA),2023-01-27,295000000
DETR,2020-05-26,60000000
DINOv2,2023-04-14,1140000000
DITTO,2022-06-06,750000000
DL scaling Image,2017-12-01,121000000
DL scaling LM,2017-12-01,177000000
DL scaling speech,2017-12-01,193000000
DLDL (PASCAL),2016-11-06,564000000
DLRM-2020,2019-05-31,100000000000
DLWP,2021-02-09,2676376
DNABERT,2021-08-15,110000000
DNN EM segmentation,2012-12-03,218896
DPO on Pythia-2.8B,2023-05-29,2800000000
DQN,2013-12-19,836096
DQN-2015,2015-02-25,1693362
DeBERTa,2021-06-10,1500000000
DeBERTaV3large + KEAR,2022-05-04,418000000
DeLighT,2020-08-03,99000000
Decision tree (classification),2001-12-08,12000
Decision tree adaline,1969-05-01,2450
Deep Autoencoders,2011-04-29,139808256
Deep Belief Nets,2006-07-18,1600000
Deep Blue,1997-05-01,8000
Deep CNN + COTS,2015-07-26,5006000
Deep Multitask NLP Network,2008-07-05,1500000
DeepNet,2022-03-01,3200000000
DeepSeek-Coder-V2 236B,2024-06-17,236000000000
DeepSeek-R1,2025-01-20,671000000000
DeepSeek-R1 (May 2025),2025-05-28,671000000000
DeepSeek-V2.5,2024-09-06,236000000000
DeepSeek-V3,2024-12-24,671000000000
DeepSeek-V3 (Mar 2025),2025-03-24,671000000000
DeepSeek-V4-Flash,2026-04-24,284000000000
DeepSeek-V4-Pro,2026-04-24,1600000000000
DeepSeekMath-V2,2025-11-27,685000000000
DeepStack,2017-01-06,2500000
DeiT-B,2021-01-15,86000000
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,256000000
DenseNet-264,2016-08-25,34000000
Detic,2022-01-07,88000000
DiT-XL/2,2023-03-02,675000000
DiT-XL/2 + CADS,2023-10-26,675000000
DiffDock,2022-10-04,20240000
Diffusion Renderer,2025-03-22,1100000000
Dimensionality Reduction,2006-07-18,3800000
DistBelief Speech,2012-12-03,47185920
DistBelief Vision,2012-12-03,1700000000
DistilBERT,2019-10-02,66000000
Distributed representation NN,1986-08-15,432
Doubao-pro,2024-10-28,500000000000
Double DQN,2016-03-02,1500000
DreamerV3,2023-01-10,200000000
Dropout (MNIST),2012-06-03,5594010
Dropout (TIMIT),2012-06-03,48840185
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,51000000
Dropout: SVHN,2014-06-01,47795232
Dueling DQN,2016-04-05,1700000
EI-REHN-1000D,2017-08-14,19000000
ELECTRA,2020-03-23,335000000
ELMo,2018-02-01,94000000
EMDR,2021-06-09,440000000
EN^2AS with performance reward,2019-07-22,23000000
ERNIE 3.0,2021-07-05,10000000000
ERNIE 3.0 Titan,2021-12-23,260000000000
ERNIE-4.5-VL-424B-A47B (文心大模型4.5),2025-03-16,424000000000
ERNIE-Doc (247M),2020-12-31,247000000
ERNIE-GEN (large),2020-08-06,340000000
ERNIE-ViLG,2021-12-31,10000000000
ESM1b,2020-12-15,652400000
ESM2-15B,2022-07-21,15000000000
ESM3 (98B),2024-06-25,98500000000
EVA-01,2022-11-14,1011000000
EXAONE 3.5 32B,2024-12-09,32000000000
EXAONE 4.0 (32B),2025-07-15,32000000000
EXAONE Deep 32B,2025-03-16,32000000000
EXAONE Path 2.0,2025-07-09,175000000
Eagle 2,2025-01-20,8930000000
EfficientDet,2020-07-27,77000000
EfficientNet-L2,2019-05-28,480000000
EfficientNetV2-XL,2021-06-23,208000000
EnhanceNet,2016-12-23,814464
Eurus-2-7B-PRIME,2025-02-03,7000000000
Eve,2021-10-27,15010300
FFN SwiGLU,2020-02-14,220000000
FGN,2025-06-12,720000000
FLAN 137B,2021-09-03,137000000000
FTW (For The Win),2018-07-03,126001330
Falcon-180B,2023-09-06,180000000000
Falcon-40B,2023-03-15,40000000000
Feedback Transformer,2020-02-21,126000000
Feedforward NN,2010-05-13,7082000
Ferret (13B),2023-10-11,13000000000
FinGPT-13B,2023-10-07,13000000000
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,46000000
FixRes ResNeXt-101 WSL,2019-06-14,829000000
Flamingo,2022-04-29,80000000000
Flan-PaLM 540B,2022-10-20,540000000000
Florence,2021-11-22,893000000
Fold2Seq,2021-06-24,12427904
Fractional Max-Pooling,2014-12-18,27000000
Fragment embedding,2014-06-21,144496000
