Entity,Day,Training computation (petaFLOP)
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,666.00006
4 layer QRNN (h=2500),2018-03-22,591.5882
ACF-WIDER,2014-07-15,0.07638001
ADALINE,1960-06-30,6.6e-12
ADAM (CIFAR-10),2014-12-22,0.62497985
ADM,2021-05-11,6200000
AFM-on-device,2024-07-29,451260000
AFM-server,2024-07-29,4300000000
ALBERT-xxlarge,2020-02-09,2390000
ALIGN,2021-06-11,25986700
ALLaM adapted 70B,2024-05-21,1062000060
ANN Eye Tracker,1993-11-29,0.000017534401
AR-LDM,2022-11-20,510000
ASE+ACE,1983-09-01,3.24e-7
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,315.00003
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,297.00003
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,3.18
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,408
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,3360
Adaptive Input Transformer + RD,2021-06-28,85800.01
AgentFounder-30B,2025-09-16,653670000
AlexNet,2012-09-30,470
AlexaTM 20B,2022-08-02,204374020
AlphaCode,2022-02-02,238010000
AlphaFold,2020-01-15,100000
AlphaFold 2,2020-11-30,2990000
AlphaFold 3,2024-05-08,41405644
AlphaFold-Multimer,2021-10-04,4350000
AlphaGo Fan,2015-10-01,380000.03
AlphaGo Lee,2016-01-27,1900000
AlphaGo Master,2017-10-19,341000
AlphaGo Zero,2017-10-18,649439.9
AlphaStar,2019-10-30,107734000
AlphaTensor,2022-10-05,714147.8
AlphaX-1,2019-10-02,889.344
AlphaZero,2017-12-05,106000
Amazon Nova Pro,2024-12-03,6000009700
Amazon Titan,2023-09-28,4800000000
Ankh_large,2023-01-16,6500000
Aramco Metabrain AI,2024-03-04,10500000000
AudioGen,2023-03-05,9500000
AudioLM,2023-07-26,3900
BASIC-L,2021-11-19,41200000
BEIT-3,2022-08-22,70000
BERT-Large,2018-10-11,285000
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,154050
BERT-RBP,2022-04-07,140000
BIDAF,2016-11-05,3468.6145
BLIP-2 (Q-Former),2023-01-30,1200000
BLOOM-176B,2022-07-11,365664000
Bankruptcy-NN,1990-06-17,0.0000030593378
Base LM + kNN LM + Continuous Cache,2019-11-01,30529.201
Big Transformer for Back-Translation,2018-08-28,478080
Big-Little Net,2018-07-10,246.048
Big-Little Net (speech),2018-07-10,429.00482
BlenderBot 3,2022-08-10,430000030
BloombergGPT,2023-03-30,236000020
ByT5-XXL,2021-05-28,81000000
CHAI-1,2024-10-15,7760572.5
CLIP (ViT L/14@336px),2021-01-05,10500000
CNN Committee (MNIST),2011-09-18,52
CNN Committee (NIST),2011-09-18,26
CNN committee (traffic sign),2011-10-03,0.99198145
CODEFUSION (Python),2023-10-26,7920
CPM-Large,2020-12-01,260520
CT-MoS (WT2),2020-12-25,540
CaLM,2022-12-19,29000
CamemBERT,2019-11-10,830000
Cancer drug mechanism prediction,1992-10-16,5.346e-8
Ceramic-MLP,1994-01-07,0.0000045312
ChatGLM3-6B,2023-10-27,50400000
Chinchilla,2022-03-29,576000000
Claude 2,2023-07-11,3866000100
Claude 3.5 Sonnet,2024-06-20,26999998000
Claude 3.7 Sonnet,2025-02-24,33500000000
CoAtNet,2021-06-09,42700004
CoCa,2022-06-14,73000000
CodeT5-base,2021-11-01,1560000.1
CodeT5-large,2022-07-05,2720000
Codex,2021-07-07,73440000
