Entity,Day,Training dataset size,Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,2000000,Language
3DDFA,2015-11-23,293901,Vision
3DMM-CNN,2016-12-15,500000,Vision
4 layer QRNN (h=2500),2018-03-22,103000000,Language
6-Act Tether,2021-08-03,125000000,Robotics
A3C FF hs,2016-02-04,200000000,Games
ACF-WIDER,2014-07-15,144448,Vision
ADALINE,1960-06-30,100,Vision
ADAM (CIFAR-10),2014-12-22,50000,Vision
ADM,2021-05-11,130191200000000,Image generation
AFM-on-device,2024-07-29,7588000000000,Language
AFM-server,2024-07-29,7400000000000,Language
ALBERT,2019-09-26,3300000000,Language
ALBERT-xxlarge,2020-02-09,3300000000,Language
ALIGN,2021-06-11,1800000000,Multiple domains
ALLaM adapted 70B,2024-05-21,600000000000,Language
ALM 1.0,2022-11-28,22696572400,Language
ANN Eye Tracker,1993-11-29,4000,Vision
ASE+ACE,1983-09-01,500000,Robotics
AWD-LSTM,2017-07-18,2000000,Language
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,2000000,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,2000000,Language
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,2000000,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,2000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,2000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,2000000,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,2000000,Language
AdaBoost.M2 Digit Recognition,1996-07-03,9709,Vision
AdaRNN,2014-06-01,6248,Language
Adaptive Input Transformer + RD,2021-06-28,103000000,Language
Adaptive Inputs + LayerDrop,2019-09-25,103000000,Language
Adaptive Subgrad,2011-10-03,800000,Language
Advantage Learning,2015-12-15,100000000,Games
AgentFounder-30B,2025-09-16,315000000000,Language
Agile Soccer Robot,2023-04-26,3140000000,Robotics
AlexNet,2012-09-30,2457600000,Vision
AlexaTM 20B,2022-08-02,1319000000000,Language
AlphaCode,2022-02-02,967000000000,Language
AlphaFold,2020-01-15,6622252080,Biology
AlphaFold 2,2020-11-30,5724000000,Biology
AlphaFold 3,2024-05-08,29491200000,Biology
AlphaFold-Multimer,2021-10-04,56573952,Biology
AlphaGo Fan,2015-10-01,12697600000,Games
AlphaGo Lee,2016-01-27,300000000,Games
AlphaGo Zero,2017-10-18,6348800000,Games
AlphaMissense,2023-09-22,2304000000,Biology
AlphaX-1,2019-10-02,61280000,Vision
AlphaZero,2017-12-05,3520000000,Games
Amazon Titan,2023-09-28,4000000000000,Multiple domains
Ankh_large,2023-01-16,14000000000,Biology
Aramco Metabrain AI,2024-03-04,7000000000000,Language
AudioGen,2023-03-05,230400000000,Other
AudioLM,2023-07-26,135000000000,Other
Aya,2024-02-12,1144220000000,Language
BART-large,2019-10-29,42666666666,Language
BASIC-L,2021-11-19,8905031712000,Vision
BERT-Large,2018-10-11,2649900000,Language
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,1300000000,Language
BIDAF,2016-11-05,879000,Language
BLIP-2 (Q-Former),2023-01-30,2322000000,Multiple domains
BLOOM-176B,2022-07-11,379000000000,Language
BLSTM for handwriting (1),2007-09-23,405478,Vision
BLSTM for handwriting (2),2007-12-03,3298424,Vision
BLUUMI,2023-11-03,38000000000,Language
BPE,2015-08-31,50000000,Language
Bankruptcy-NN,1990-06-17,74,Other
Base LM + kNN LM + Continuous Cache,2019-11-01,103000000,Language
BatchNorm,2015-06-15,12441600000,Vision
Bayesian automated hyperparameter tuning,2012-12-02,50000,Other
Bidirectional RNN,1997-11-01,142910,Speech
Big Transfer (BiT-L),2019-12-24,300000000,Vision
Big Transformer for Back-Translation,2018-08-28,4520000000,Language
Big-Little Net,2018-07-10,1280000,Vision
Big-Little Net (speech),2018-07-10,720000000,Speech
BigBiGAN,2019-07-04,2560000,Multiple domains
BigSSL,2021-01-10,100530000000,Speech
BlenderBot 3,2022-08-10,1300000000,Language
BloombergGPT,2023-03-30,569000000000,Language
Boosting,1992-11-30,29127,Vision
ByT5-XXL,2021-05-28,1048576000000,Language
CCL,2016-06-27,20000,Vision
CFSS,2015-06-07,141660,Vision
CLIP (ResNet-50),2021-01-05,400000000,Multiple domains
CLIP (ViT L/14@336px),2021-01-05,400000000,Multiple domains
CNN Committee (MNIST),2011-09-18,420000,Vision
CNN Committee (NIST),2011-09-18,3380475,Vision
CNN committee (traffic sign),2011-10-03,53280,Vision
CODEFUSION (Python),2023-10-26,4390400,Language
CPM-Large,2020-12-01,16700000000,Language
CT-MoS (WT2),2020-12-25,2000000,Language
CaLM,2022-12-19,2523746560,Biology
CamemBERT,2019-11-10,28615771779,Language
Cancer drug mechanism prediction,1992-10-16,141,Other
Cascaded LNet-ANet,2014-11-28,9320000,Vision
Ceramic-MLP,1994-01-07,80,Other
Char-CNN-BiLSTM,2019-06-13,929000,Language
ChatGLM3-6B,2023-10-27,1400000000000,Multiple domains
Chinchilla,2022-03-29,1400000000000,Language
CoAtNet,2021-06-09,88779000000000,Vision
CoCa,2022-06-14,1351680000000,Vision
CoEdiT-xxl,2023-05-17,1093333,Language
CodeT5+,2023-05-20,51500000000,Language
