model_id,downloads,likes,pipeline_tag,library_name
openai-community/gpt2,14037132,3350,text-generation,transformers
sshleifer/tiny-gpt2,1209685,36,text-generation,transformers
openai-community/gpt2-large,1197253,355,text-generation,transformers
nie3e/sentiment-polish-gpt2-small,1051749,1,text-classification,transformers
optimum-intel-internal-testing/tiny-random-gpt2,817854,0,,
openai-community/gpt2-medium,476716,205,text-generation,transformers
openai-community/gpt2-xl,161589,380,text-generation,transformers
trl-internal-testing/dummy-GPT2-correct-vocab,127994,0,text-generation,transformers
nlpconnect/vit-gpt2-image-captioning,77099,931,image-to-text,transformers
datificate/gpt2-small-spanish,63198,34,text-generation,transformers
optimum-intel-internal-testing/tiny-random-VisionEncoderDecoderModel-vit-gpt2,52457,0,,
peft-internal-testing/tiny-random-gpt2,51579,0,text-generation,transformers
stanford-crfm/alias-gpt2-small-x21,47021,4,text-generation,transformers
erwanf/gpt2-mini,44624,6,text-generation,transformers
peft-internal-testing/tiny-random-GPT2LMHeadModel,41162,0,text-generation,transformers
peft-internal-testing/tiny_GPT2ForTokenClassification-lora,34059,0,,peft
trl-internal-testing/tiny-GPT2LMHeadModel,32021,0,text-generation,transformers
ai-forever/rugpt3small_based_on_gpt2,31109,55,text-generation,transformers
robowaifudev/megatron-gpt2-345m,23027,9,text-generation,transformers
peft-internal-testing/gpt2-lora-random,21003,0,,peft
joaogante/tiny-random-gpt2-with-generation-config,20686,0,,transformers
garak-llm/attackgeneration-toxicity_gpt2,17369,4,,
DeepPavlov/rudialogpt3_medium_based_on_gpt2_v2,15744,5,text-generation,transformers
uer/gpt2-chinese-cluecorpussmall,15699,257,text-generation,transformers
optimum-intel-internal-testing/ov-tiny-random-gpt2-with-cache,12083,0,,transformers
optimum-intel-internal-testing/ov-tiny-random-gpt2-without-cache,11868,0,,transformers
rinna/japanese-gpt2-medium,11445,85,text-generation,transformers
dbmdz/german-gpt2,10817,30,text-generation,transformers
BabyLM-community/babylm-baseline-10m-gpt2,10747,2,,
aynetdia/babylm-mtp-gpt2,9172,1,,
llm-slice/blm-gpt2s-90M-s42_901M-s42_submission,6935,0,,
BabyLM-community/BabyLM-2026-Baseline-GPT2-Strict-Small,5911,0,,
optimum-internal-testing/tiny-random-encoder-decoder-gpt2-bert,5492,0,,transformers
BabyLM-community/BabyLM-2026-Baseline-GPT2-Strict,5359,0,,
Xenova/vit-gpt2-image-captioning,4884,29,image-to-text,transformers.js
rinna/japanese-gpt2-small,4880,27,text-generation,transformers
ydshieh/vit-gpt2-coco-en,4837,39,image-to-text,transformers
lvwerra/gpt2-imdb,4806,17,text-generation,transformers
BabyLM-community/babylm-baseline-100m-gpt2,4774,0,,
lgaalves/gpt2-dolly,4505,3,text-generation,transformers
ai-forever/rugpt3medium_based_on_gpt2,4398,28,text-generation,transformers
DeepESP/gpt2-spanish,4236,39,text-generation,transformers
pierreguillou/gpt2-small-portuguese,3847,55,text-generation,transformers
entropy/gpt2_zinc_87m,3845,4,text-generation,transformers
hyper-accel/tiny-random-gpt2,3841,0,text-generation,transformers
NeTSlab/gpt2_parfind_en_nl_zh_equal,3644,0,text-generation,transformers
hiepvv01/BabyLM-2026-Baseline-GPT2-Strict-Small,3455,0,,
mradermacher/metatune-gpt20b-R1.1-i1-GGUF,3449,0,,transformers
Xenova/gpt2,3350,11,text-generation,transformers.js
Intel/tiny-random-gpt2,3292,0,text-generation,transformers
