date,downloads
2026-01-17,516914
2026-01-18,503096
2026-01-19,615574
2026-01-20,743776
2026-01-21,775703
2026-01-22,823748
2026-01-23,676742
2026-01-24,474878
2026-01-25,452687
2026-01-26,676997
2026-01-27,686657
2026-01-28,675548
2026-01-29,641322
2026-01-30,593252
2026-01-31,436262
2026-02-01,417359
2026-02-02,591201
2026-02-03,705218
2026-02-04,679924
2026-02-05,734287
2026-02-06,692948
2026-02-07,509901
2026-02-08,533770
2026-02-09,648057
2026-02-10,709800
2026-02-11,642714
2026-02-12,649049
2026-02-13,711170
2026-02-14,461067
2026-02-15,392826
2026-02-16,515485
2026-02-17,743727
2026-02-18,657934
2026-02-19,645479
2026-02-20,642074
2026-02-21,493563
2026-02-22,505827
2026-02-23,641460
2026-02-24,736863
2026-02-25,713787
2026-02-26,747990
2026-02-27,734642
2026-02-28,515027
2026-03-01,460701
2026-03-02,701357
2026-03-03,798246
2026-03-04,818397
2026-03-05,777820
2026-03-06,735071
2026-03-07,568932
2026-03-08,511090
2026-03-09,771915
2026-03-10,811014
2026-03-11,905022
2026-03-12,827519
2026-03-13,774836
2026-03-14,590692
2026-03-15,563411
2026-03-16,846785
2026-03-17,1104410
2026-03-18,900937
2026-03-19,883343
2026-03-20,907567
2026-03-21,636282
2026-03-22,580665
2026-03-23,936144
2026-03-24,951684
2026-03-25,934236
2026-03-26,1003493
2026-03-27,1098385
2026-03-28,639105
2026-03-29,509281
2026-03-30,864381
2026-03-31,932560
2026-04-01,880908
2026-04-02,896946
2026-04-03,854175
2026-04-04,582337
2026-04-05,507955
2026-04-06,782612
2026-04-07,884075
2026-04-08,870520
2026-04-09,884460
2026-04-10,807502
2026-04-11,526009
2026-04-12,535889
2026-04-13,845908
2026-04-14,849202
2026-04-15,876517
2026-04-16,846953
2026-04-17,858734
2026-04-18,667147
2026-04-19,586350
2026-04-20,874700
2026-04-21,923590
2026-04-22,925701
2026-04-23,850093
2026-04-24,807281
2026-04-25,565238
2026-04-26,559967
2026-04-27,799992
2026-04-28,869977
2026-04-29,878378
2026-04-30,807168
2026-05-01,668960
2026-05-02,492682
2026-05-03,491635
2026-05-04,739423
2026-05-05,907043
2026-05-06,889198
2026-05-07,889818
2026-05-08,836277
2026-05-09,613241
2026-05-10,621348
2026-05-11,847180
2026-05-12,868979
2026-05-13,872275
2026-05-14,813621
2026-05-15,789722
2026-05-16,561754
2026-05-17,556631
2026-05-18,835707
2026-05-19,916433
2026-05-20,879394
2026-05-21,917599
2026-05-22,830024
2026-05-23,563674
2026-05-24,574722
2026-05-25,655381
2026-05-26,799457
2026-05-27,830010
2026-05-28,839973
2026-05-29,823127
2026-05-30,577576
2026-05-31,543649
2026-06-01,792007
2026-06-02,835062
2026-06-03,780996
2026-06-04,833491
2026-06-05,841327
2026-06-06,673186
2026-06-07,603047
2026-06-08,928446
2026-06-09,964724
2026-06-10,932114
2026-06-11,917270
2026-06-12,832243
2026-06-13,550990
2026-06-14,523442
2026-06-15,780754
2026-06-16,850403
2026-06-17,829509
2026-06-18,766486
2026-06-19,739794
2026-06-20,613863
2026-06-21,599935
2026-06-22,862109
2026-06-23,876284
2026-06-24,837372
2026-06-25,827030
2026-06-26,815037
2026-06-27,680439
2026-06-28,1011288
2026-06-29,843440
2026-06-30,843291
2026-07-01,899732
2026-07-02,805111
2026-07-03,668287
2026-07-04,474054
2026-07-05,506528
2026-07-06,1011176
2026-07-07,847735
2026-07-08,861071
2026-07-09,1037891
2026-07-10,1121862
2026-07-11,644713
2026-07-12,699970
2026-07-13,1063232
2026-07-14,1258606
2026-07-15,999975
2026-07-16,965320
