date,downloads
2026-01-17,17401517
2026-01-18,16086430
2026-01-19,22396789
2026-01-20,24718592
2026-01-21,25824511
2026-01-22,25531551
2026-01-23,23765953
2026-01-24,16734514
2026-01-25,15503686
2026-01-26,23015757
2026-01-27,25704278
2026-01-28,24822742
2026-01-29,25382226
2026-01-30,23625528
2026-01-31,16283880
2026-02-01,17242515
2026-02-02,25295593
2026-02-03,27949755
2026-02-04,28482008
2026-02-05,28244866
2026-02-06,27117982
2026-02-07,20683989
2026-02-08,19839686
2026-02-09,27572440
2026-02-10,29181383
2026-02-11,26689617
2026-02-12,25872312
2026-02-13,24396832
2026-02-14,16430932
2026-02-15,15955194
2026-02-16,22111688
2026-02-17,24787806
2026-02-18,25862234
2026-02-19,26003261
2026-02-20,24621488
2026-02-21,17513698
2026-02-22,17493369
2026-02-23,24603660
2026-02-24,26468522
2026-02-25,26586594
2026-02-26,27178860
2026-02-27,26012241
2026-02-28,18104353
2026-03-01,17897879
2026-03-02,26042084
2026-03-03,28133355
2026-03-04,28092508
2026-03-05,27966244
2026-03-06,27775912
2026-03-07,18960653
2026-03-08,18469728
2026-03-09,30580787
2026-03-10,31284745
2026-03-11,31455019
2026-03-12,31199863
2026-03-13,29336813
2026-03-14,20184028
2026-03-15,20873038
2026-03-16,29550169
2026-03-17,31654516
2026-03-18,31749388
2026-03-19,31636781
2026-03-20,30047175
2026-03-21,21302212
2026-03-22,21933369
2026-03-23,33627712
2026-03-24,32477421
2026-03-25,32605738
2026-03-26,37123269
2026-03-27,34799103
2026-03-28,23318519
2026-03-29,22273206
2026-03-30,32094578
2026-03-31,32642216
2026-04-01,31361195
2026-04-02,31133813
2026-04-03,28157941
2026-04-04,21816053
2026-04-05,20932638
2026-04-06,27437424
2026-04-07,32084044
2026-04-08,32642647
2026-04-09,32120243
2026-04-10,31447193
2026-04-11,21866072
2026-04-12,21885001
2026-04-13,31526520
2026-04-14,33593053
2026-04-15,34201643
2026-04-16,32693492
2026-04-17,31770484
2026-04-18,22937610
2026-04-19,22248420
2026-04-20,33109217
2026-04-21,33569189
2026-04-22,34567830
2026-04-23,35132223
2026-04-24,34483672
2026-04-25,25318880
2026-04-26,25453057
2026-04-27,33925898
2026-04-28,34851477
2026-04-29,34938488
2026-04-30,34443603
2026-05-01,32073588
2026-05-02,24901423
2026-05-03,22620341
2026-05-04,31298346
2026-05-05,35263639
2026-05-06,36158416
2026-05-07,35975011
2026-05-08,32621122
2026-05-09,23503898
2026-05-10,22535967
2026-05-11,33268570
2026-05-12,34903018
2026-05-13,34926825
2026-05-14,34150980
2026-05-15,33304454
2026-05-16,24566365
2026-05-17,23938058
2026-05-18,34877691
2026-05-19,38627602
2026-05-20,38580504
2026-05-21,39112929
2026-05-22,35631216
2026-05-23,25586522
2026-05-24,25809719
2026-05-25,30856374
2026-05-26,34254429
2026-05-27,35936916
2026-05-28,36120133
2026-05-29,35578822
2026-05-30,26027738
2026-05-31,24049299
2026-06-01,35100744
2026-06-02,38055133
2026-06-03,38452238
2026-06-04,39600412
2026-06-05,38496430
2026-06-06,28214629
2026-06-07,26778522
2026-06-08,38409747
2026-06-09,39164221
2026-06-10,42187973
2026-06-11,41293067
2026-06-12,38569456
2026-06-13,27719832
2026-06-14,28644900
2026-06-15,40510640
2026-06-16,40705328
2026-06-17,39840433
2026-06-18,37785161
2026-06-19,34729957
2026-06-20,28425911
2026-06-21,27752346
2026-06-22,40530399
2026-06-23,41770706
2026-06-24,41212337
2026-06-25,39552119
2026-06-26,36827339
2026-06-27,27263658
2026-06-28,27254020
2026-06-29,38932852
2026-06-30,40340854
2026-07-01,41508243
2026-07-02,39854635
2026-07-03,35149835
2026-07-04,28578153
2026-07-05,27977899
2026-07-06,39041504
2026-07-07,41255536
2026-07-08,39891797
2026-07-09,39303757
2026-07-10,37389408
2026-07-11,26938215
2026-07-12,26339236
2026-07-13,38755038
2026-07-14,39701606
2026-07-15,39899594
2026-07-16,41026383
