date,downloads
2026-01-17,1195277
2026-01-18,1221860
2026-01-19,1661530
2026-01-20,2015392
2026-01-21,2248279
2026-01-22,2563592
2026-01-23,1885108
2026-01-24,1210494
2026-01-25,1146867
2026-01-26,1773785
2026-01-27,2102898
2026-01-28,2238516
2026-01-29,2170959
2026-01-30,1833524
2026-01-31,1205461
2026-02-01,1242271
2026-02-02,2381897
2026-02-03,2854753
2026-02-04,2592798
2026-02-05,2516628
2026-02-06,2196583
2026-02-07,1787321
2026-02-08,1756733
2026-02-09,2562280
2026-02-10,2553762
2026-02-11,2324908
2026-02-12,2048688
2026-02-13,2014776
2026-02-14,1358273
2026-02-15,1125158
2026-02-16,1701420
2026-02-17,2054709
2026-02-18,2168746
2026-02-19,2206108
2026-02-20,2141994
2026-02-21,1687141
2026-02-22,1627967
2026-02-23,1947519
2026-02-24,2057447
2026-02-25,2183108
2026-02-26,2571340
2026-02-27,2398357
2026-02-28,1549654
2026-03-01,1507769
2026-03-02,2142967
2026-03-03,2418674
2026-03-04,2213207
2026-03-05,2046079
2026-03-06,2033662
2026-03-07,1607652
2026-03-08,1486923
2026-03-09,2280936
2026-03-10,2383993
2026-03-11,2823507
2026-03-12,2438644
2026-03-13,2244795
2026-03-14,1807155
2026-03-15,1857908
2026-03-16,2441061
2026-03-17,3130721
2026-03-18,2687630
2026-03-19,2451665
2026-03-20,2454175
2026-03-21,1840249
2026-03-22,2108185
2026-03-23,2979393
2026-03-24,2799903
2026-03-25,2610207
2026-03-26,2728325
2026-03-27,2853864
2026-03-28,1703304
2026-03-29,1485207
2026-03-30,2461787
2026-03-31,2322508
2026-04-01,2382857
2026-04-02,2440295
2026-04-03,2295453
2026-04-04,1819921
2026-04-05,1547630
2026-04-06,2230400
2026-04-07,2563237
2026-04-08,2546129
2026-04-09,2641134
2026-04-10,2375207
2026-04-11,1657356
2026-04-12,1713785
2026-04-13,2489344
2026-04-14,2517239
2026-04-15,2600266
2026-04-16,2489899
2026-04-17,2630693
2026-04-18,2036897
2026-04-19,1792055
2026-04-20,2644977
2026-04-21,2612552
2026-04-22,3180316
2026-04-23,2931250
2026-04-24,3084103
2026-04-25,2702509
2026-04-26,2796823
2026-04-27,2934557
2026-04-28,3613498
2026-04-29,3299771
2026-04-30,2983864
2026-05-01,2597235
2026-05-02,1864519
2026-05-03,1990345
2026-05-04,2684427
2026-05-05,3111048
2026-05-06,2970195
2026-05-07,2657996
2026-05-08,2444069
2026-05-09,1786890
2026-05-10,1672585
2026-05-11,2582454
2026-05-12,2720905
2026-05-13,2693540
2026-05-14,2578096
2026-05-15,2345358
2026-05-16,1691118
2026-05-17,1723994
2026-05-18,2548100
2026-05-19,2823789
2026-05-20,2805955
2026-05-21,2691942
2026-05-22,2656297
2026-05-23,1983568
2026-05-24,2013195
2026-05-25,2422503
2026-05-26,2772128
2026-05-27,2840320
2026-05-28,2787323
2026-05-29,2819125
2026-05-30,1983867
2026-05-31,1763193
2026-06-01,2734156
2026-06-02,3001100
2026-06-03,3027471
2026-06-04,3118625
2026-06-05,3190867
2026-06-06,2224801
2026-06-07,2172838
2026-06-08,3062957
2026-06-09,3397633
2026-06-10,4080907
2026-06-11,3503612
2026-06-12,3121793
2026-06-13,2269358
2026-06-14,2137342
2026-06-15,3325196
2026-06-16,3290454
2026-06-17,3170206
2026-06-18,2940197
2026-06-19,2788902
2026-06-20,2265772
2026-06-21,2121635
2026-06-22,3650703
2026-06-23,3442800
2026-06-24,3273096
2026-06-25,3045192
2026-06-26,2898072
2026-06-27,2208867
2026-06-28,2598200
2026-06-29,3146932
2026-06-30,3289498
2026-07-01,3570133
2026-07-02,3288795
2026-07-03,3051998
2026-07-04,2308068
2026-07-05,2150580
2026-07-06,3393910
2026-07-07,3690278
2026-07-08,3408893
2026-07-09,3833060
2026-07-10,3356139
2026-07-11,2270900
2026-07-12,2439618
2026-07-13,3530320
2026-07-14,3964801
2026-07-15,3850457
2026-07-16,4839056
