date,downloads
2026-01-17,1719448
2026-01-18,1735266
2026-01-19,2251661
2026-01-20,2475678
2026-01-21,2711803
2026-01-22,3080056
2026-01-23,2710056
2026-01-24,1799066
2026-01-25,1705236
2026-01-26,2388069
2026-01-27,2629339
2026-01-28,2735415
2026-01-29,2808218
2026-01-30,2426504
2026-01-31,1822808
2026-02-01,1744218
2026-02-02,2462939
2026-02-03,2610579
2026-02-04,2904465
2026-02-05,2879681
2026-02-06,2635250
2026-02-07,2317866
2026-02-08,2370442
2026-02-09,3004476
2026-02-10,2626981
2026-02-11,2518858
2026-02-12,2496524
2026-02-13,2606910
2026-02-14,1875989
2026-02-15,1704567
2026-02-16,2200234
2026-02-17,2466254
2026-02-18,2387862
2026-02-19,2617791
2026-02-20,2480867
2026-02-21,2144415
2026-02-22,1924288
2026-02-23,2346983
2026-02-24,2767012
2026-02-25,2639922
2026-02-26,2617576
2026-02-27,2562732
2026-02-28,1948068
2026-03-01,1800483
2026-03-02,2730305
2026-03-03,2848174
2026-03-04,2801304
2026-03-05,2687347
2026-03-06,3304749
2026-03-07,2147505
2026-03-08,1956601
2026-03-09,2849316
2026-03-10,2820193
2026-03-11,2966359
2026-03-12,3020940
2026-03-13,2898622
2026-03-14,2199188
2026-03-15,2368750
2026-03-16,2948165
2026-03-17,3312856
2026-03-18,3043944
2026-03-19,2935592
2026-03-20,2889383
2026-03-21,2351231
2026-03-22,2777937
2026-03-23,3384845
2026-03-24,3128858
2026-03-25,3043690
2026-03-26,3281899
2026-03-27,3319434
2026-03-28,2187130
2026-03-29,2045465
2026-03-30,3092356
2026-03-31,2929203
2026-04-01,2983315
2026-04-02,2986388
2026-04-03,2823339
2026-04-04,2236246
2026-04-05,2267220
2026-04-06,2507271
2026-04-07,2883744
2026-04-08,2925925
2026-04-09,3073418
2026-04-10,2715433
2026-04-11,1951028
2026-04-12,1985774
2026-04-13,2840189
2026-04-14,2927856
2026-04-15,2857182
2026-04-16,2845727
2026-04-17,2804109
2026-04-18,2198289
2026-04-19,2102932
2026-04-20,2981678
2026-04-21,3000833
2026-04-22,3358999
2026-04-23,3100286
2026-04-24,2966350
2026-04-25,2330112
2026-04-26,2600300
2026-04-27,3253713
2026-04-28,3229652
2026-04-29,3314253
2026-04-30,3025062
2026-05-01,2579257
2026-05-02,2236036
2026-05-03,2389160
2026-05-04,2864959
2026-05-05,3410991
2026-05-06,3388372
2026-05-07,3284231
2026-05-08,3071930
2026-05-09,2373065
2026-05-10,2012200
2026-05-11,2895435
2026-05-12,2971433
2026-05-13,3039906
2026-05-14,3160446
2026-05-15,2995852
2026-05-16,2296146
2026-05-17,2317587
2026-05-18,3018122
2026-05-19,3239054
2026-05-20,3210785
2026-05-21,3424306
2026-05-22,3088427
2026-05-23,2396272
2026-05-24,2506714
2026-05-25,2796071
2026-05-26,2935988
2026-05-27,3130458
2026-05-28,3218224
2026-05-29,2962001
2026-05-30,2289796
2026-05-31,2217571
2026-06-01,3086118
2026-06-02,3165345
2026-06-03,3219568
2026-06-04,3317702
2026-06-05,3516143
2026-06-06,2508423
2026-06-07,2423958
2026-06-08,3201662
2026-06-09,3225775
2026-06-10,3437817
2026-06-11,3422504
2026-06-12,3123979
2026-06-13,2409117
2026-06-14,2294235
2026-06-15,3109865
2026-06-16,3215859
2026-06-17,3255095
2026-06-18,3293506
2026-06-19,3165647
2026-06-20,2702630
2026-06-21,2582331
2026-06-22,3424158
2026-06-23,3335279
2026-06-24,3285160
2026-06-25,3247297
2026-06-26,2962542
2026-06-27,2320733
2026-06-28,2448123
2026-06-29,3098626
2026-06-30,3218221
2026-07-01,3391659
2026-07-02,3296637
2026-07-03,2821683
2026-07-04,2290000
2026-07-05,2396215
2026-07-06,3136516
2026-07-07,3269490
2026-07-08,3312096
2026-07-09,3552040
2026-07-10,3355232
2026-07-11,2572027
2026-07-12,2650582
2026-07-13,3801926
2026-07-14,4178249
2026-07-15,3581592
2026-07-16,3581931
