date,downloads
2026-01-17,1243
2026-01-18,1129
2026-01-19,1207
2026-01-20,2074
2026-01-21,1519
2026-01-22,1500
2026-01-23,1429
2026-01-24,1274
2026-01-25,1504
2026-01-26,2003
2026-01-27,1713
2026-01-28,2303
2026-01-29,1898
2026-01-30,1247
2026-01-31,1690
2026-02-01,1180
2026-02-02,2155
2026-02-03,2054
2026-02-04,1618
2026-02-05,4934
2026-02-06,1100
2026-02-07,998
2026-02-08,1109
2026-02-09,1902
2026-02-10,3164
2026-02-11,2440
2026-02-12,2284
2026-02-13,2038
2026-02-14,1161
2026-02-15,1985
2026-02-16,1607
2026-02-17,1795
2026-02-18,2821
2026-02-19,2507
2026-02-20,2011
2026-02-21,1761
2026-02-22,2004
2026-02-23,2082
2026-02-24,2565
2026-02-25,2498
2026-02-26,2362
2026-02-27,2359
2026-02-28,2305
2026-03-01,1400
2026-03-02,2496
2026-03-03,2088
2026-03-04,1859
2026-03-05,2202
2026-03-06,2283
2026-03-07,1149
2026-03-08,1388
2026-03-09,1822
2026-03-10,2561
2026-03-11,3380
2026-03-12,2928
2026-03-13,2911
2026-03-14,1741
2026-03-15,2311
2026-03-16,2354
2026-03-17,2653
2026-03-18,2375
2026-03-19,2545
2026-03-20,2367
2026-03-21,1618
2026-03-22,1755
2026-03-23,2608
2026-03-24,3332
2026-03-25,2638
2026-03-26,2417
2026-03-27,2073
2026-03-28,2098
2026-03-29,1903
2026-03-30,2360
2026-03-31,2405
2026-04-01,2641
2026-04-02,2615
2026-04-03,2562
2026-04-04,3281
2026-04-05,3127
2026-04-06,2601
2026-04-07,3527
2026-04-08,3630
2026-04-09,3655
2026-04-10,2727
2026-04-11,1626
2026-04-12,2223
2026-04-13,3151
2026-04-14,2850
2026-04-15,2973
2026-04-16,2506
2026-04-17,3567
2026-04-18,2340
2026-04-19,1965
2026-04-20,2590
2026-04-21,2777
2026-04-22,2366
2026-04-23,2518
2026-04-24,3100
2026-04-25,2634
2026-04-26,2581
2026-04-27,3016
2026-04-28,3560
2026-04-29,2748
2026-04-30,2801
2026-05-01,2653
2026-05-02,1991
2026-05-03,2078
2026-05-04,3155
2026-05-05,4672
2026-05-06,5704
2026-05-07,3171
2026-05-08,3622
2026-05-09,2758
2026-05-10,2439
2026-05-11,2761
2026-05-12,2837
2026-05-13,3108
2026-05-14,2383
2026-05-15,2407
2026-05-16,2003
2026-05-17,2075
2026-05-18,3966
2026-05-19,2506
2026-05-20,3017
2026-05-21,3097
2026-05-22,2748
2026-05-23,2530
2026-05-24,2988
2026-05-25,3633
2026-05-26,2261
2026-05-27,3354
2026-05-28,3930
2026-05-29,2813
2026-05-30,2134
2026-05-31,2778
2026-06-01,2470
2026-06-02,2831
2026-06-03,2818
2026-06-04,2540
2026-06-05,4910
2026-06-06,2647
2026-06-07,1894
2026-06-08,3173
2026-06-09,5155
2026-06-10,3982
2026-06-11,2829
2026-06-12,3634
2026-06-13,3865
2026-06-14,3919
2026-06-15,4544
2026-06-16,3686
2026-06-17,3601
2026-06-18,3056
2026-06-19,3121
2026-06-20,2293
2026-06-21,2422
2026-06-22,3519
2026-06-23,4043
2026-06-24,3130
2026-06-25,2527
2026-06-26,2671
2026-06-27,2140
2026-06-28,2465
2026-06-29,3140
2026-06-30,2968
2026-07-01,2128
2026-07-02,2808
2026-07-03,2188
2026-07-04,2036
2026-07-05,2295
2026-07-06,3893
2026-07-07,2558
2026-07-08,3135
2026-07-09,2922
2026-07-10,2664
2026-07-11,2450
2026-07-12,2074
2026-07-13,3540
2026-07-14,4200
2026-07-15,3016
2026-07-16,2175
