date,downloads
2026-01-17,2429846
2026-01-18,2282102
2026-01-19,3117852
2026-01-20,3667947
2026-01-21,3931296
2026-01-22,4067501
2026-01-23,3633808
2026-01-24,2545894
2026-01-25,2438756
2026-01-26,3217728
2026-01-27,3646110
2026-01-28,3782293
2026-01-29,4030456
2026-01-30,3673840
2026-01-31,2620660
2026-02-01,4086875
2026-02-02,4766883
2026-02-03,4894538
2026-02-04,4719699
2026-02-05,4508592
2026-02-06,4182240
2026-02-07,3168929
2026-02-08,2971575
2026-02-09,4313387
2026-02-10,4478029
2026-02-11,4140606
2026-02-12,3873851
2026-02-13,4187253
2026-02-14,2935809
2026-02-15,2405263
2026-02-16,3137741
2026-02-17,3679394
2026-02-18,3901302
2026-02-19,3850372
2026-02-20,3779655
2026-02-21,3048567
2026-02-22,2992421
2026-02-23,3463033
2026-02-24,3834933
2026-02-25,3923828
2026-02-26,4305972
2026-02-27,4003442
2026-02-28,2848241
2026-03-01,3709535
2026-03-02,4082527
2026-03-03,4143205
2026-03-04,3993275
2026-03-05,3977965
2026-03-06,4532967
2026-03-07,3245437
2026-03-08,2894863
2026-03-09,4171836
2026-03-10,4296727
2026-03-11,4796646
2026-03-12,4336938
2026-03-13,4078128
2026-03-14,3469876
2026-03-15,3424288
2026-03-16,4100198
2026-03-17,4929722
2026-03-18,4825272
2026-03-19,4425424
2026-03-20,4218546
2026-03-21,4673724
2026-03-22,4769361
2026-03-23,5146386
2026-03-24,4485822
2026-03-25,4317804
2026-03-26,4501194
2026-03-27,4592082
2026-03-28,3069498
2026-03-29,2820803
2026-03-30,4373498
2026-03-31,4196450
2026-04-01,5515647
2026-04-02,4517777
2026-04-03,4074373
2026-04-04,3312931
2026-04-05,3236236
2026-04-06,3869496
2026-04-07,4405471
2026-04-08,4366691
2026-04-09,4657808
2026-04-10,4332484
2026-04-11,3199970
2026-04-12,3291846
2026-04-13,4371128
2026-04-14,4603109
2026-04-15,4622161
2026-04-16,4458255
2026-04-17,4624679
2026-04-18,3383704
2026-04-19,3231020
2026-04-20,5020042
2026-04-21,4695361
2026-04-22,5446973
2026-04-23,5232737
2026-04-24,4989591
2026-04-25,4286574
2026-04-26,4403318
2026-04-27,5134926
2026-04-28,6409312
2026-04-29,6228854
2026-04-30,6223046
2026-05-01,6129213
2026-05-02,4632918
2026-05-03,4093762
2026-05-04,5005471
2026-05-05,5752350
2026-05-06,5577829
2026-05-07,5057475
2026-05-08,4627532
2026-05-09,3422352
2026-05-10,3287261
2026-05-11,4873890
2026-05-12,5208113
2026-05-13,5270005
2026-05-14,5046643
2026-05-15,4501852
2026-05-16,3480348
2026-05-17,3415646
2026-05-18,4800260
2026-05-19,5330282
2026-05-20,5293692
2026-05-21,5189059
2026-05-22,5073619
2026-05-23,3865415
2026-05-24,4051088
2026-05-25,4714471
2026-05-26,5155323
2026-05-27,5148376
2026-05-28,5280601
2026-05-29,5161473
2026-05-30,3762981
2026-05-31,3732375
2026-06-01,6604825
2026-06-02,6359730
2026-06-03,6064820
2026-06-04,5988528
2026-06-05,5855811
2026-06-06,4024321
2026-06-07,4136082
2026-06-08,5584915
2026-06-09,5989324
2026-06-10,6897749
2026-06-11,6360268
2026-06-12,5901495
2026-06-13,4606213
2026-06-14,4145198
2026-06-15,6076210
2026-06-16,6254711
2026-06-17,5957474
2026-06-18,5592597
2026-06-19,5310063
2026-06-20,4252120
2026-06-21,4308500
2026-06-22,7055553
2026-06-23,6270888
2026-06-24,6078723
2026-06-25,5589051
2026-06-26,5603232
2026-06-27,4108889
2026-06-28,4733711
2026-06-29,6307967
2026-06-30,6537566
2026-07-01,7724554
2026-07-02,6637826
2026-07-03,5594194
2026-07-04,4278855
2026-07-05,3798965
2026-07-06,5951293
2026-07-07,6608913
2026-07-08,6217132
2026-07-09,6919081
2026-07-10,5842668
2026-07-11,3942707
2026-07-12,4122236
2026-07-13,6132197
2026-07-14,6351278
2026-07-15,6606137
2026-07-16,7739267
